	OSATIVA	NIAOYAO	CHINGCHUNG	CHINGLIU	CR441	ARC11571	MADHUWAKARIA	JC_157	KEYANUNIA	GINMASARI	KOTOBUKIMOCHI	NIPPONBARE	SACHIKAZE	BINIAPAN	KOTOOURA	PATIEROUGE	MANYALOJOPOIHUN	A2_257
CHINGCHUNG	0.26	0.26	0.00	0.24	0.36	0.36	0.36	0.36	0.36	0.32	0.31	0.30	0.31	0.35	0.34	0.34	0.34	0.35
CHINGLIU	0.25	0.25	0.24	0.00	0.34	0.34	0.34	0.34	0.34	0.30	0.29	0.28	0.29	0.33	0.33	0.32	0.33	0.34
OSATIVA	0.00	0.22	0.26	0.25	0.33	0.32	0.32	0.32	0.32	0.28	0.28	0.27	0.27	0.31	0.31	0.31	0.32	0.33
NIAOYAO	0.22	0.00	0.26	0.25	0.33	0.32	0.32	0.32	0.32	0.27	0.27	0.26	0.26	0.31	0.30	0.30	0.32	0.33
CR441	0.33	0.33	0.36	0.34	0.00	0.15	0.15	0.14	0.15	0.18	0.18	0.17	0.18	0.21	0.21	0.20	0.22	0.22
ARC11571	0.32	0.32	0.36	0.34	0.15	0.00	0.15	0.13	0.15	0.17	0.17	0.16	0.16	0.20	0.20	0.20	0.21	0.22
MADHUWAKARIA	0.32	0.32	0.36	0.34	0.15	0.15	0.00	0.15	0.13	0.19	0.18	0.17	0.18	0.21	0.21	0.21	0.22	0.23
JC_157	0.32	0.32	0.36	0.34	0.14	0.13	0.15	0.00	0.13	0.18	0.18	0.17	0.17	0.21	0.21	0.20	0.21	0.22
KEYANUNIA	0.32	0.32	0.36	0.34	0.15	0.15	0.13	0.13	0.00	0.18	0.18	0.17	0.17	0.21	0.20	0.20	0.22	0.22
GINMASARI	0.28	0.27	0.32	0.30	0.18	0.17	0.19	0.18	0.18	0.00	0.05	0.04	0.04	0.13	0.13	0.13	0.14	0.14
KOTOBUKIMOCHI	0.28	0.27	0.31	0.29	0.18	0.17	0.18	0.18	0.18	0.05	0.00	0.03	0.04	0.13	0.13	0.13	0.14	0.14
NIPPONBARE	0.27	0.26	0.30	0.28	0.17	0.16	0.17	0.17	0.17	0.04	0.03	0.00	0.02	0.12	0.12	0.12	0.13	0.13
SACHIKAZE	0.27	0.26	0.31	0.29	0.18	0.16	0.18	0.17	0.17	0.04	0.04	0.02	0.00	0.12	0.12	0.12	0.13	0.14
BINIAPAN	0.31	0.31	0.35	0.33	0.21	0.20	0.21	0.21	0.21	0.13	0.13	0.12	0.12	0.00	0.09	0.09	0.09	0.11
MANYALOJOPOIHUN	0.32	0.32	0.34	0.33	0.22	0.21	0.22	0.21	0.22	0.14	0.14	0.13	0.13	0.09	0.09	0.08	0.00	0.07
A2_257	0.33	0.33	0.35	0.34	0.22	0.22	0.23	0.22	0.22	0.14	0.14	0.13	0.14	0.11	0.10	0.09	0.07	0.00
KOTOOURA	0.31	0.30	0.34	0.33	0.21	0.20	0.21	0.21	0.20	0.13	0.13	0.12	0.12	0.09	0.00	0.08	0.09	0.10
PATIEROUGE	0.31	0.30	0.34	0.32	0.20	0.20	0.21	0.20	0.20	0.13	0.13	0.12	0.12	0.09	0.08	0.00	0.08	0.09
