	GINMASARI	KOTOBUKIMOCHI	NIPPONBARE	SACHIKAZE	BINIAPAN	KOTOOURA	PATIEROUGE	MANYALOJOPOIHUN	A2_257	ARC11571	JC_157	KEYANUNIA	MADHUWAKARIA	CR441	OSATIVA	CHINGCHUNG	NIAOYAO	CHINGLIU
GINMASARI	0.00	0.05	0.04	0.04	0.13	0.13	0.13	0.14	0.14	0.17	0.18	0.18	0.19	0.18	0.28	0.32	0.27	0.30
KOTOBUKIMOCHI	0.05	0.00	0.03	0.04	0.13	0.13	0.13	0.14	0.14	0.17	0.18	0.18	0.18	0.18	0.28	0.31	0.27	0.29
NIPPONBARE	0.04	0.03	0.00	0.02	0.12	0.12	0.12	0.13	0.13	0.16	0.17	0.17	0.17	0.17	0.27	0.30	0.26	0.28
SACHIKAZE	0.04	0.04	0.02	0.00	0.12	0.12	0.12	0.13	0.14	0.16	0.17	0.17	0.18	0.18	0.27	0.31	0.26	0.29
BINIAPAN	0.13	0.13	0.12	0.12	0.00	0.09	0.09	0.09	0.11	0.20	0.21	0.21	0.21	0.21	0.31	0.35	0.31	0.33
KOTOOURA	0.13	0.13	0.12	0.12	0.09	0.00	0.08	0.09	0.10	0.20	0.21	0.20	0.21	0.21	0.31	0.34	0.30	0.33
PATIEROUGE	0.13	0.13	0.12	0.12	0.09	0.08	0.00	0.08	0.09	0.20	0.20	0.20	0.21	0.20	0.31	0.34	0.30	0.32
MANYALOJOPOIHUN	0.14	0.14	0.13	0.13	0.09	0.09	0.08	0.00	0.07	0.21	0.21	0.22	0.22	0.22	0.32	0.34	0.32	0.33
A2_257	0.14	0.14	0.13	0.14	0.11	0.10	0.09	0.07	0.00	0.22	0.22	0.22	0.23	0.22	0.33	0.35	0.33	0.34
ARC11571	0.17	0.17	0.16	0.16	0.20	0.20	0.20	0.21	0.22	0.00	0.13	0.15	0.15	0.15	0.32	0.36	0.32	0.34
JC_157	0.18	0.18	0.17	0.17	0.21	0.21	0.20	0.21	0.22	0.13	0.00	0.13	0.15	0.14	0.32	0.36	0.32	0.34
KEYANUNIA	0.18	0.18	0.17	0.17	0.21	0.20	0.20	0.22	0.22	0.15	0.13	0.00	0.13	0.15	0.32	0.36	0.32	0.34
MADHUWAKARIA	0.19	0.18	0.17	0.18	0.21	0.21	0.21	0.22	0.23	0.15	0.15	0.13	0.00	0.15	0.32	0.36	0.32	0.34
CR441	0.18	0.18	0.17	0.18	0.21	0.21	0.20	0.22	0.22	0.15	0.14	0.15	0.15	0.00	0.33	0.36	0.33	0.34
OSATIVA	0.28	0.28	0.27	0.27	0.31	0.31	0.31	0.32	0.33	0.32	0.32	0.32	0.32	0.33	0.00	0.26	0.22	0.25
CHINGCHUNG	0.32	0.31	0.30	0.31	0.35	0.34	0.34	0.34	0.35	0.36	0.36	0.36	0.36	0.36	0.26	0.00	0.26	0.24
NIAOYAO	0.27	0.27	0.26	0.26	0.31	0.30	0.30	0.32	0.33	0.32	0.32	0.32	0.32	0.33	0.22	0.26	0.00	0.25
CHINGLIU	0.30	0.29	0.28	0.29	0.33	0.33	0.32	0.33	0.34	0.34	0.34	0.34	0.34	0.34	0.25	0.24	0.25	0.00
