Tname tGapStart tGapSize Samples
OsjChr10 10020508 30 YB4;
OsjChr10 10020526 6 YB2;YB3;YB6;YB7;
OsjChr10 10029005 8 YB2;
OsjChr10 10073336 143 YB2;
OsjChr10 10078744 9 YB5;YB7;YB8;
OsjChr10 10162863 95 YB5;
OsjChr10 10189122 34 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10191907 45 YB3;YB6;
OsjChr10 10193931 30 YB2;
OsjChr10 10198131 264 YB2;
OsjChr10 10202233 80 YB2;
OsjChr10 10239758 10 YB7;
OsjChr10 10239845 5 YB7;
OsjChr10 10239927 8 YB7;
OsjChr10 10261035 21 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10270067 10 YB3;
OsjChr10 10270152 5 YB2;YB3;YB4;YB5;YB7;
OsjChr10 10285790 70 YB4;YB7;
OsjChr10 10314137 54 YB4;
OsjChr10 10314139 52 YB5;
OsjChr10 10314145 46 YB6;
OsjChr10 10321611 99 YB2;
OsjChr10 10328826 18 YB2;YB3;
OsjChr10 10330516 11 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10331280 33 YB2;YB4;YB8;
OsjChr10 10347790 18 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr10 10356573 30 YB8;
OsjChr10 10361815 22 YB1;
OsjChr10 10361855 7 YB1;
OsjChr10 1037534 116 YB1;
OsjChr10 10382779 200 YB8;
OsjChr10 10382867 5 YB5;
OsjChr10 10397147 16 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10424016 192 YB8;
OsjChr10 10478687 6 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10479404 43 YB2;
OsjChr10 10487664 11 YB3;YB8;
OsjChr10 10494318 239 YB1;
OsjChr10 10498616 11 YB2;YB2;YB3;YB4;YB6;YB7;YB8;
OsjChr10 10503087 7 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr10 10516239 1564 YB4;
OsjChr10 10517807 3297 YB4;
OsjChr10 10546680 15 YB3;YB5;YB7;YB8;
OsjChr10 10546764 41 YB8;
OsjChr10 10555276 9 YB5;YB7;YB8;
OsjChr10 10557266 14 YB6;
OsjChr10 10557273 14 YB4;YB5;YB7;
OsjChr10 10559621 348 YB3;
OsjChr10 10560981 98 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr10 10564619 377 YB8;
OsjChr10 10580896 49 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10621643 83 YB2;
OsjChr10 10631760 337 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10644627 433 YB8;
OsjChr10 10644631 429 YB6;
OsjChr10 10644633 427 YB2;
OsjChr10 10644637 423 YB3;
OsjChr10 10652519 322 YB8;
OsjChr10 10693740 7 YB2;YB3;YB4;YB5;YB6;YB7;
OsjChr10 10699445 14 YB3;
OsjChr10 10706762 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10711047 328 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 1071464 10 YB8;
OsjChr10 1071930 87 YB6;
OsjChr10 1072321 6 YB4;
OsjChr10 10725828 444 YB6;
OsjChr10 10725832 428 YB3;
OsjChr10 10726284 5 YB8;
OsjChr10 10733006 451 YB4;
OsjChr10 10744678 358 YB3;
OsjChr10 10753750 24 YB8;
OsjChr10 10753801 70 YB8;
OsjChr10 10755728 14 YB3;
OsjChr10 10755736 6 YB5;
OsjChr10 10761950 10 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10766127 121 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10777059 8 YB2;YB3;YB4;YB5;YB6;YB7;YB8;
OsjChr10 10783460 24 YB2;YB6;
OsjChr10 10784660 19 YB4;YB7;
OsjChr10 10787396 20 YB5;
OsjChr10 10788255 40 YB6;YB7;
