Tname tGapStart tGapSize Qname qGapStart qGapSize Samples
OsjChr10 10020508 30 852372 9 0 YB4;
OsjChr10 10020526 6 1016592 844 0 YB3;
OsjChr10 10020526 6 1034893 1205 0 YB6;
OsjChr10 10020526 6 1038465 1393 0 YB2;
OsjChr10 10020526 6 1058264 1393 0 YB7;
OsjChr10 10029005 8 909613 708 9 YB2;
OsjChr10 10073336 143 899793 701 0 YB2;
OsjChr10 10078744 9 680401 243 1 YB7;
OsjChr10 10078744 9 771653 243 1 YB8;
OsjChr10 10078744 9 784681 365 1 YB5;
OsjChr10 10162863 95 952951 885 0 YB5;
OsjChr10 10189122 34 1083998 760 0 YB4;
OsjChr10 10189122 34 1116292 1856 0 YB7;
OsjChr10 10189122 34 1117016 2283 0 YB2;
OsjChr10 10189122 34 1240605 1593 0 YB8;
OsjChr10 10189122 34 800160 31 0 YB3;
OsjChr10 10189122 34 863689 228 0 YB6;
OsjChr10 10189122 34 940207 766 0 YB5;
OsjChr10 10191907 45 882835 78 0 YB6;
OsjChr10 10191907 45 944897 348 0 YB3;
OsjChr10 10193931 30 1095200 1886 0 YB2;
OsjChr10 10198131 264 764258 381 0 YB2;
OsjChr10 10202233 80 724908 277 9 YB2;
OsjChr10 10239758 10 1149642 2578 8 YB7;
OsjChr10 10239845 5 1149642 2663 6 YB7;
OsjChr10 10239927 8 1149642 2748 22 YB7;
OsjChr10 10261035 21 1078855 645 0 YB5;
OsjChr10 10261035 21 1087121 696 0 YB6;
OsjChr10 10261035 21 1096206 856 0 YB3;
OsjChr10 10261035 21 1100150 900 0 YB2;
OsjChr10 10261035 21 1193625 856 0 YB4;
OsjChr10 10261035 21 1268745 992 0 YB8;
OsjChr10 10261035 21 937245 555 0 YB7;
OsjChr10 10270067 10 857314 5 0 YB3;
OsjChr10 10270152 5 857314 80 0 YB3;
OsjChr10 10270152 5 909061 75 0 YB2;
OsjChr10 10270152 5 910962 62 0 YB5;
OsjChr10 10270152 5 943022 60 0 YB4;
OsjChr10 10270152 5 970793 104 0 YB7;
OsjChr10 10285790 70 850433 53 0 YB7;
OsjChr10 10285790 70 905478 288 0 YB4;
OsjChr10 10314137 54 1142112 7 0 YB4;
OsjChr10 10314139 52 1096913 9 0 YB5;
OsjChr10 10314145 46 1115367 57 0 YB6;
OsjChr10 10321611 99 747022 330 0 YB2;
OsjChr10 10328826 18 1118374 22 0 YB2;
OsjChr10 10328826 18 1131212 25 0 YB3;
OsjChr10 10330516 11 1032461 915 0 YB5;
OsjChr10 10330516 11 1108557 1523 0 YB6;
OsjChr10 10330516 11 1114842 1494 0 YB7;
OsjChr10 10330516 11 1118374 1687 0 YB2;
OsjChr10 10330516 11 1131212 1690 0 YB3;
OsjChr10 10330516 11 1157064 581 0 YB4;
OsjChr10 10330516 11 1277165 1583 0 YB8;
OsjChr10 10331280 33 1118374 2440 0 YB2;
OsjChr10 10331280 33 1157064 1334 0 YB4;
OsjChr10 10331280 33 1277165 2336 0 YB8;
OsjChr10 10347790 18 1017542 464 0 YB7;
OsjChr10 10347790 18 1077206 865 0 YB2;
OsjChr10 10347790 18 1210907 9839 0 YB3;
OsjChr10 10347790 18 1276069 3789 0 YB4;
OsjChr10 10347790 18 715838 241 0 YB5;
OsjChr10 10347790 18 993653 490 0 YB6;
OsjChr10 10356573 30 1083101 834 0 YB8;
OsjChr10 10361815 22 1189280 7593 6 YB1;
OsjChr10 10361855 7 1189280 7617 8 YB1;
OsjChr10 1037534 116 943313 556 0 YB1;
OsjChr10 10382779 200 1257905 6 0 YB8;
OsjChr10 10382867 5 1169413 6184 0 YB5;
OsjChr10 10397147 16 1104813 986 0 YB6;
OsjChr10 10397147 16 1117958 1313 0 YB2;
OsjChr10 10397147 16 1120368 81 0 YB4;
OsjChr10 10397147 16 1139370 1377 0 YB3;
OsjChr10 10397147 16 1192714 433 0 YB8;
OsjChr10 10397147 16 990192 257 0 YB7;
OsjChr10 10397147 16 999729 160 0 YB5;
OsjChr10 10424016 192 1137949 1062 0 YB8;
OsjChr10 10478687 6 1010150 198 0 YB3;
OsjChr10 10478687 6 1083852 198 0 YB4;
OsjChr10 10478687 6 1088259 200 0 YB8;
OsjChr10 10478687 6 945793 200 0 YB5;
OsjChr10 10478687 6 955931 200 0 YB7;
OsjChr10 10478687 6 958723 200 0 YB6;
OsjChr10 10478687 6 967199 129 0 YB2;
OsjChr10 10479404 43 967199 840 0 YB2;
OsjChr10 10487664 11 1029373 963 1 YB3;
OsjChr10 10487664 11 800015 286 1 YB8;
OsjChr10 10494318 239 1159669 3699 0 YB1;
OsjChr10 10498616 11 1020965 1280 0 YB2;
OsjChr10 10498616 11 1080288 441 0 YB3;
OsjChr10 10498616 11 1160372 3118 0 YB6;
OsjChr10 10498616 11 1180198 595 0 YB7;
OsjChr10 10498616 11 1284307 3089 0 YB4;
OsjChr10 10498616 11 1305611 3106 0 YB8;
OsjChr10 10498616 11 671900 16 0 YB2;
OsjChr10 10503087 7 1096524 1967 0 YB2;
OsjChr10 10503087 7 1112770 1688 0 YB3;
OsjChr10 10503087 7 1122905 2017 0 YB6;
OsjChr10 10503087 7 1180198 5055 0 YB7;
OsjChr10 10503087 7 1284307 7549 0 YB4;
OsjChr10 10503087 7 806067 271 0 YB5;
OsjChr10 10516239 1564 875322 251 0 YB4;
OsjChr10 10517807 3297 875322 255 0 YB4;
OsjChr10 10546680 15 1066391 1235 0 YB3;
OsjChr10 10546680 15 1085790 1646 0 YB7;
OsjChr10 10546680 15 1196602 1273 0 YB8;
OsjChr10 10546680 15 790973 360 0 YB5;
OsjChr10 10546764 41 1196602 1342 0 YB8;
OsjChr10 10555276 9 663069 86 0 YB7;
OsjChr10 10555276 9 767447 104 0 YB5;
OsjChr10 10555276 9 797907 118 0 YB8;
OsjChr10 10557266 14 1019037 21 0 YB6;
OsjChr10 10557273 14 1007091 30 0 YB5;
OsjChr10 10557273 14 1013830 21 0 YB7;
OsjChr10 10557273 14 1127802 26 0 YB4;
OsjChr10 10559621 348 1048703 6 0 YB3;
OsjChr10 10560981 98 1048703 1019 0 YB3;
OsjChr10 10560981 98 1082440 1012 0 YB2;
OsjChr10 10560981 98 1083807 908 0 YB5;
OsjChr10 10560981 98 1105997 1021 0 YB6;
OsjChr10 10560981 98 1192901 1022 0 YB4;
OsjChr10 10560981 98 926505 165 0 YB7;
OsjChr10 10564619 377 1132505 6 0 YB8;
OsjChr10 10580896 49 1074406 727 0 YB4;
OsjChr10 10580896 49 781814 159 0 YB2;
OsjChr10 10580896 49 819865 160 0 YB6;
OsjChr10 10580896 49 923961 168 0 YB8;
OsjChr10 10580896 49 928593 192 0 YB3;
OsjChr10 10580896 49 973301 710 0 YB7;
OsjChr10 10580896 49 975957 729 0 YB5;
OsjChr10 10621643 83 685372 12 0 YB2;
OsjChr10 10631760 337 1046985 524 0 YB6;
OsjChr10 10631760 337 1057241 732 0 YB5;
OsjChr10 10631760 337 1061347 1163 0 YB3;
OsjChr10 10631760 337 1117992 1749 0 YB2;
OsjChr10 10631760 337 1125458 1433 0 YB7;
OsjChr10 10631760 337 1134408 408 0 YB4;
OsjChr10 10631760 337 1201344 1384 0 YB8;
OsjChr10 10644627 433 1142461 7 0 YB8;
OsjChr10 10644631 429 1014565 11 0 YB6;
OsjChr10 10644633 427 1083790 13 0 YB2;
OsjChr10 10644637 423 1073063 16 0 YB3;
OsjChr10 10652519 322 1314757 4925 0 YB8;
OsjChr10 10693740 7 1000824 48 1 YB7;
OsjChr10 10693740 7 1069147 304 1 YB2;
OsjChr10 10693740 7 1107677 119 1 YB6;
OsjChr10 10693740 7 1145613 1078 1 YB5;
OsjChr10 10693740 7 1164022 1076 1 YB3;
OsjChr10 10693740 7 1223305 1076 1 YB4;
OsjChr10 10699445 14 1182961 3821 0 YB3;
OsjChr10 10706762 8 1059139 523 0 YB3;
OsjChr10 10706762 8 1092654 213 0 YB4;
OsjChr10 10706762 8 1143537 552 0 YB8;
OsjChr10 10706762 8 675352 199 0 YB2;
OsjChr10 10706762 8 939289 130 0 YB5;
OsjChr10 10706762 8 953115 149 0 YB7;
OsjChr10 10706762 8 972325 199 0 YB6;
OsjChr10 10711047 328 1022646 477 316 YB7;
OsjChr10 10711047 328 1059173 477 316 YB6;
OsjChr10 10711047 328 1063141 488 316 YB2;
OsjChr10 10711047 328 1122102 687 316 YB3;
OsjChr10 10711047 328 1186821 519 316 YB4;
OsjChr10 10711047 328 1228933 402 316 YB8;
OsjChr10 10711047 328 965521 477 316 YB5;
OsjChr10 1071464 10 746203 35 0 YB8;
OsjChr10 1071930 87 675191 269 0 YB6;
OsjChr10 1072321 6 980635 400 0 YB4;
OsjChr10 10725828 444 1181737 7 0 YB6;
OsjChr10 10725832 428 1099518 11 0 YB3;
OsjChr10 10726284 5 1257045 44 60 YB8;
OsjChr10 10733006 451 1175012 8 0 YB4;
OsjChr10 10744678 358 787868 249 0 YB3;
OsjChr10 10753750 24 1249681 70 0 YB8;
OsjChr10 10753801 70 1249681 97 0 YB8;
OsjChr10 10755728 14 1076901 9 0 YB3;
OsjChr10 10755736 6 1040025 18 0 YB5;
OsjChr10 10761950 10 1003731 1095 0 YB5;
OsjChr10 10761950 10 1156912 863 0 YB8;
OsjChr10 10761950 10 1176790 4095 0 YB7;
OsjChr10 10761950 10 1204951 4086 0 YB3;
OsjChr10 10761950 10 1286059 3996 0 YB4;
OsjChr10 10761950 10 985931 723 0 YB6;
OsjChr10 10761950 10 998939 787 0 YB2;
OsjChr10 10766127 121 1072005 734 0 YB5;
OsjChr10 10766127 121 1083317 250 0 YB6;
OsjChr10 10766127 121 1094986 505 0 YB7;
OsjChr10 10766127 121 1098700 854 0 YB2;
OsjChr10 10766127 121 1141578 1999 0 YB3;
OsjChr10 10766127 121 1162638 627 0 YB8;
OsjChr10 10766127 121 1286059 8162 0 YB4;
OsjChr10 10777059 8 1113284 1363 0 YB2;
OsjChr10 10777059 8 1130294 1078 0 YB3;
OsjChr10 10777059 8 1148051 1639 0 YB6;
OsjChr10 10777059 8 1209516 211 0 YB8;
OsjChr10 10777059 8 1253055 1721 0 YB4;
OsjChr10 10777059 8 921156 109 0 YB5;
OsjChr10 10777059 8 994196 387 0 YB7;
OsjChr10 10783460 24 1083186 1917 0 YB2;
OsjChr10 10783460 24 949543 815 0 YB6;
OsjChr10 10784660 19 688323 85 0 YB7;
OsjChr10 10784660 19 892024 69 0 YB4;
OsjChr10 10787396 20 1031099 1328 0 YB5;
OsjChr10 10788255 40 1028044 9 0 YB7;
OsjChr10 10788255 40 1032895 9 0 YB6;
OsjChr10 10790085 131 1090172 1518 0 YB3;
OsjChr10 10790085 131 824723 420 0 YB2;
OsjChr10 10790085 131 840421 472 0 YB5;
OsjChr10 10790085 131 852395 482 0 YB7;
OsjChr10 10790085 131 939953 424 0 YB8;
OsjChr10 10808634 306 1027095 555 0 YB4;
OsjChr10 10808634 336 875663 555 0 YB6;
OsjChr10 10824326 164 872893 553 0 YB7;
OsjChr10 10824326 164 987467 553 0 YB8;
OsjChr10 10824492 7 1021315 719 13 YB6;
OsjChr10 10824492 7 1053835 717 13 YB3;
OsjChr10 10824492 7 1124560 717 13 YB4;
OsjChr10 10824921 32 1021315 1154 0 YB6;
OsjChr10 10824921 32 1053835 1152 0 YB3;
OsjChr10 10824921 32 735381 44 0 YB6;
OsjChr10 10824921 32 835799 410 0 YB5;
OsjChr10 10839227 45 1003170 12 0 YB3;
OsjChr10 10839227 45 1075869 14 0 YB8;
OsjChr10 10839227 45 1076400 12 0 YB4;
OsjChr10 10839227 45 1086169 1134 0 YB5;
OsjChr10 10839227 45 1097821 1132 0 YB1;
OsjChr10 10839227 45 926797 14 0 YB2;
OsjChr10 10839227 45 947643 14 0 YB6;
OsjChr10 10839227 45 950797 14 0 YB7;
OsjChr10 10844270 366 1070928 6 0 YB2;
OsjChr10 10844270 366 862587 6 0 YB7;
OsjChr10 10844270 366 863763 6 0 YB6;
OsjChr10 10844270 366 937775 6 0 YB8;
OsjChr10 10864159 5 1078407 678 0 YB8;
OsjChr10 10864736 5 1026647 491 0 YB8;
OsjChr10 10864736 5 715472 163 0 YB2;
OsjChr10 10864736 5 732326 163 0 YB5;
OsjChr10 10864736 5 775905 163 0 YB6;
OsjChr10 10864736 5 850516 161 0 YB3;
OsjChr10 10864736 5 922720 161 0 YB4;
OsjChr10 10903654 87 660646 258 0 YB6;
OsjChr10 10917384 102 1001145 1051 0 YB6;
OsjChr10 10917384 102 1027431 1301 0 YB5;
OsjChr10 10917384 102 1074703 802 0 YB8;
OsjChr10 10917384 102 998288 1051 0 YB7;
OsjChr10 10927496 24 1127980 76 0 YB7;
OsjChr10 10927496 24 1177904 82 0 YB4;
OsjChr10 10927496 24 754400 43 0 YB5;
OsjChr10 10927496 24 963115 37 0 YB6;
OsjChr10 10933104 12 1083702 810 0 YB7;
OsjChr10 10933104 12 1104327 1443 0 YB6;
OsjChr10 10933104 12 1191303 1233 0 YB3;
OsjChr10 10933104 12 1275279 2079 0 YB4;
OsjChr10 10933104 12 1314357 1655 0 YB8;
OsjChr10 10933104 12 915669 760 0 YB2;
OsjChr10 10933104 12 939547 47 0 YB2;
OsjChr10 10933104 12 998881 1013 0 YB5;
OsjChr10 11006024 34 730010 6 0 YB5;
OsjChr10 11006028 30 1199037 9 0 YB3;
OsjChr10 11006028 30 751716 9 0 YB2;
OsjChr10 11006034 24 892067 15 0 YB8;
OsjChr10 1102629 113 988282 977 0 YB7;
OsjChr10 1102635 113 1004231 1082 0 YB2;
OsjChr10 1102635 113 1013713 1081 0 YB6;
OsjChr10 1102635 113 818625 265 0 YB8;
OsjChr10 1102635 113 962650 265 0 YB3;
OsjChr10 11053376 354 1037953 1380 0 YB5;
OsjChr10 11061037 8 1135558 2964 0 YB2;
OsjChr10 11113113 29 1116036 116 0 YB3;
OsjChr10 11113113 29 1153884 152 0 YB4;
OsjChr10 11113113 29 1160176 118 0 YB6;
OsjChr10 11113113 29 1169680 9 0 YB7;
OsjChr10 11113113 29 1269071 118 0 YB8;
